,Name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,1.71
2,Canopus,0310,15,71
3,Alpha Centauri,0004.4,1.1,1.2
4,Arcturus,0037,1.1,26
5,Vega,0025,2.2,2.7
6,Capella,0043,2.6,12
7,Rigel,0860,23,78.9
8,Procyon,0011.4,1.5,1.9
9,Betelgeuse,0640[1],20,950
10,Achernar,0144,6.7,9.3
11,Hadar,0390,10.5,8.6
12,Altair,0017,1.8,1.8
13,Acrux,0320,18,8.9
14,Aldebaran,0065,1.5,44
15,Antares,0600,12,680
16,Spica,0260,11.43,7.47
17,Pollux,0034,1.9,8.8
18,Fomalhaut,0025,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,0350,16,8.4
21,Regulus,0077,3.8,3.1
22,Adhara,0430,12.5,14
23,Shaula,0700,14.5,8.8
24,Castor,0052,2.8,2.4
25,Gacrux,0088,1.5,84
26,Bellatrix,0240,8.6,5.8
27,Elnath,0130,5.0,4.2
28,Miaplacidus,0110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma Velorum,"01,100",9.0,6
31,Alnair,0101,4.0,3.4
32,Alioth,0081,2.9,4.2
33,Alnitak,01050,33,20
34,Dubhe,0120,4.25,30
35,Mirfak,0590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,0270,5.7,26
38,Kaus Australis,0140,3.5,6.8
39,Avior,0630,9.0,130
40,Alkaid,0104,6.1,3.4
41,Menkalinan,081,2.39,2.77
42,Atria,0390,7,92
43,Alhena,0109,2.8,3.3
44,Peacock,0180,5.9,4.8
45,Alsephina[2],0080,2.4,2.9
46,Mirzam,0500,13.5,10
47,Polaris,0430,5.4,39
48,Alphard,0180,3.0,50
49,Mintaka,01200,24,16.5
50,Scheat,0196,2.1,95
51,Almaaz,0653,15,140
52,Rasalgethi,0360,2.8,280
53,Tau Ceti,011.9,0.783,0.893
54,Delta Pavonis,019.92,0.991,1.22
55,Ran,010.48,0.82,0.74
56,V382 Carinae,"08,900",20,485
57,Eta Carinae,"07,500",100,60 - 881
58,Delta Cephei,0887,4.5,44.5
59,Mu Cephei,"06,000",19.2,972
60,Titawin,044.25,1.27,1.48
61,Rho Cassiopeiae,"08,154",22,636-981
62,P Cygni,"05,545",30,76
63,La Superba,"01,000",,129 - 342
64,VV Cephei,"04,900",18.2,"516 - 1,050"
65,61 Cygni,011.41,0.7,0.665
66,R Doradus,0178,0.7 - 1.0,298
67,Polaris Australis,0281,1.59,3.74
68,R Coronae Borealis,"04,566",0.85,85
69,54 Piscium,036.1,0.76,0.94
70,Mira,0300,1.2,370
71,RW Cephei,"014,000",13.9,"1,158"
72,Lacaille 8760,012.87,0.6,0.51
73,V838 Monocerotis,"019,896",?,380 - 750
74,HD 140283,0202,0.81,2.04
75,II Pegasi,0130,0.8,3.4
76,VY Canis Majoris,"03,900",17,"1,420"
77,Pistol Star,"025,000",100,320
78,S Doradus,"0169,000",24,380
79,UY Scuti,"05,100",7 - 10,755
80,Barnard's Star,05.98,0.14,0.20
81,HE 1523-0901,"010,000",0.80,27
82,Proxima Centauri,04.25,0.12,0.15
83,KIC 8462852,"01,470",1.43,1.58
84,R136a1,"0163,000",290,32
85,Melnick 42,"0163,000",189,21.1
86,WR 102,"018,134",19,0.39
87,VFTS 352,"0164,000",57.48,14.47
88,YBP 1194,"02,772",1.01,0.99
89,Gliese 1214,047.5,0.16,0.21
90,Luhman 16,06.50,0.03 + 0.03,?
91,NML Cygni,"05,251",50,"1,640 - 2,770"
92,VB 10,018.72,0.075,0.10
93,WOH G64,"0163,000",<20,"1,540 - 1,730"
94,TRAPPIST-1,039.6,0.089,0.12
95,2MASS J0523-1403,040.3,0.07,0.086
96,WISE 0855−0714,07.27,0.003,?
97,Icarus,"014,400,000,000",33,?
98,SDSS J000013.54+255418.6 [de],46.1,4.932624,0.0009450421200000001
99,2MASS J00040288-6410358,192.0,1.952497,0.00155597844
100,2MASS J00242463-0158201,37.7,8.118276999999999,0.0010405009200000002
101,2MASS J00274197+0503417,236.0,3.185653,0.00137460672
102,2MASSW J0030300-145033,87.2,5.549201999999999,0.00093549624
103,2MASS J00332386-1521309 [de],131.0,2.980127,0.00136506084
104,2MASS J00345157+0523050,31.0,4.316046,0.00089731272
105,2MASS 0036+1821,28.6,4.316046,0.00089731272
106,2MASSW J0045214+163445,57.0,2.363549,0.00154643256
107,WISEP J004701.06+680352.1 [fr],40.0,1.233156,0.0012409644000000001
108,2MASS J00501994-3322402 [de],34.0,4.110519999999999,0.00089731272
109,2MASS J00584253-0651239 [de],96.0,2.980127,0.00136506084
110,2MASSI J0103320+193536,70.0,5.343675999999999,0.00093549624
111,SDSSp J010752.33+004156.1 [de],51.0,5.343675999999999,0.00093549624
112,2MASSI J0117474-340325 [de],163.0,2.0552599999999996,0.00154643256
113,2MASS J01415823-4633574 [de],130.0,2.0552599999999996,0.0015368866800000002
114,SDSS J015141.69+124429.6,70.0,4.829860999999999,0.00092595036
115,SDSS J020742.48+000056.2 [de],111.0,4.829860999999999,0.00092595036
116,2MASS J02103857-3015313,101.0,1.541445,0.00146051964
117,2MASS J02340093-6442068,155.0,2.0552599999999996,0.00154643256
118,2MASS J02411151-0326587 [de],152.0,2.7746009999999997,0.00134596908
119,2MASS J02431371−2453298,35.0,3.3911789999999997,0.0009450421200000001
120,LP 771-21,53.0,8.015514,0.0010309550400000001
121,2MASS J02535980+3206373,184.0,6.679595,0.0018137172
122,WISE J0254+0223,24.0,6.679595,0.0018137172
123,DEN 0255-4700,16.2,8.221039999999999,0.00092595036
124,2MASS J03185403-3421292 [de],45.0,5.035387,0.00092595036
